tmall.com,140.205.94.193
about.com,151.101.130.137
hotmail.com,204.79.197.212
imageshack.us,208.94.3.18
rakuten.co.jp,133.237.16.234
nifty.com,222.158.213.148
cnn.com,151.101.129.67
orkut.com.br,132.148.40.250
facebook.com,157.240.22.35
facebook.com,157.240.22.35
360.cn,36.99.170.84
ku6.com,117.50.1.222
youtube.com,172.217.0.46
weather.com,104.118.74.173
softonic.com,35.227.233.104
youtube.com,216.58.194.174
mywebsearch.com,34.102.244.163
soku.com,106.11.47.19
yahoo.com,98.137.11.164
goo.ne.jp,114.179.184.93
bbc.co.uk,151.101.0.81
yahoo.com,74.6.143.25
live.com,204.79.197.212
zynga.com,13.35.121.57
alibaba.com,198.11.132.198
yandex.ru,5.255.255.5
wikipedia.org,198.35.26.96
partypoker.com,195.72.135.91
tianya.cn,124.225.65.154
myspace.com,63.135.90.70
wikipedia.org,198.35.26.96
hp.com,15.72.228.83
msn.com,13.82.28.61
mail.ru,217.69.139.200
msn.com,13.82.28.61
walmart.com,161.170.232.170
baidu.com,39.156.69.79
cnet.com,35.190.79.82
baidu.com,220.181.38.148
renren.com,120.133.2.243
blogspot.com,216.58.195.73
livedoor.jp,203.104.153.16
go.com,23.236.60.174
blogger.com,216.58.195.73
ebay.de,66.135.195.175
blogspot.com,172.217.6.73
microsoft.com,104.215.148.63
vkontakte.ru,87.240.190.78
kugou.com,183.131.48.92
microsoft.com,40.113.200.201
4399.com,129.211.129.109
answers.com,151.101.128.203
qq.com,58.250.137.36
orkut.com,216.239.38.21
qq.com,58.247.214.47
taobao.com,140.205.220.96
youdao.com,103.72.47.249
hotfile.com,18.207.9.28
skype.com,23.102.255.237
taobao.com,140.205.94.189
bing.com,13.107.21.200
daum.net,211.231.99.80
ameblo.jp,151.101.65.83
rapidshare.com,0.0.0.0
bing.com,13.107.21.200
qiyi.com,111.206.13.63
7k7k.com,157.185.156.194
naver.com,210.89.160.88
sina.com.cn,123.126.55.41
pconline.com.cn,219.136.244.85
odnoklassniki.ru,217.20.155.13
2345.com,14.29.109.15
sina.com.cn,123.126.55.41
flickr.com,13.227.78.140
jp.msn.com,13.88.15.24
163.com,123.58.180.8
photobucket.com,13.226.132.57
4shared.com,204.155.149.43
soso.com,118.191.216.57
ask.com,151.101.42.114
mediafire.com,104.16.202.237
163.com,123.58.180.7
amazon.co.jp,52.119.168.48
ask.com,151.101.42.114
adobe.com,193.104.215.58
ehow.com,104.86.29.199
soso.com,118.191.216.57
linkedin.com,108.174.10.10
adobe.com,193.104.215.58
twitter.com,104.244.42.65
dailymotion.com,195.8.215.136
seesaa.net,59.106.98.142
twitter.com,104.244.42.129
mozilla.com,44.235.246.155
imdb.com,52.94.225.248
mozilla.com,44.236.72.93
youku.com,106.11.43.158
aol.com,98.136.103.23
youku.com,106.11.43.246
craigslist.org,208.82.237.129
wmfo.org,23.92.21.128
andysayler.com,159.89.253.85
wmfo.org,23.92.21.128
andysayler.com,159.89.253.85
alipay.com,110.75.129.5
paipai.com,106.39.169.133
sogou.com,119.28.109.132
paypal.com,64.4.250.37
fc2.com,199.48.210.152
56.com,183.232.65.145
xunlei.com,121.41.61.107
pps.tv,116.211.199.231
ebay.com,66.135.195.175
windows.com,40.76.4.15
hao123.com,39.156.68.154
apple.com,17.253.144.10
sohu.com,211.159.191.18
yahoo.co.jp,183.79.135.206
tudou.com,106.11.43.107
wordpress.com,192.0.78.9
amazon.com,176.32.103.205
ifeng.com,123.103.122.24
live.com,204.79.197.212
sdjjdsaf.com,
sdjjdsaf.com,
megaupload.com,
